Cód. de Barras;Produto;Fabricante;Classificação Principal
7896112113430;PYLORITRAT C/ 56 CAP/CP;TEUTO S/A-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7896112118763;PYLORITRAT IBP C/ 84 CP;TEUTO S/A-SIC;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7892953001370;PYRIDIUM 100 MG C/ 25 DRG;ADIUM S.A.;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-DOR
7892953001387;PYRIDIUM 200 MG C/ 18 DRG;ADIUM S.A.;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-DOR
7898158693235;PYRISEPT 100 MG C/ 25 DRG;MABRA;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
7898158693242;PYRISEPT 200 MG C/ 18 DRG;MABRA;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-COLÍRIOS
7897655400223;PYRPAM 10 MG/ML SUSP 40 ML;UCI FARMA;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
7908020502715;PYVERM 10 MG/ML SUS C/ 40 ML;CIFARMA LTDA;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-ANTIPARASITÁRIO
7908020502722;PYVERM 100 MG C/ 6 DRG;CIFARMA LTDA;PRINCIPAL > PROPAGADO > PROPAGADO-RX > PROPAGADO-RX-ANTIPARASITÁRIO
7891106904582;QLAIRA C/ 28 CP REV;BIOLAB SANUS-SIC-OL;PRINCIPAL > PROPAGADO > PROPAGADO-ANTICONCEPCIONAL
7898623610972;QPR BLEND 500MG CX C/60 CPS;EKOBE DO BRASIL;PRINCIPAL > PROPAGADO > PROPAGADO-OTC/MIP > PROPAGADO-OTC/MIP-DOR E FEBRE
7898582272730;QRELAX C/ 30 CAPS;GALLIA-OL;PRINCIPAL > SUPLEMENTOS > SUPLE- BONIFICADOS
5000456082990;QTERN 5+10MG C 30 CP REV;ASTRAZENECA-SIC;PRINCIPAL > PROPAGADO > PROPAGADO-USO CONTINUO > PROPAGADO-USO CONTINUO-DIABETES
7897917002288;QUADRIBETA CR DERM 20 G;BELFAR;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7897917003308;QUADRIBETA POM DERM 20 G;BELFAR;PRINCIPAL > SIMILAR > SIMILAR-ANTIMICROBIANOS
7891142180742;QUADRIDERM CR DERM 10 G;HYPERA PHARMA - OL PP;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7891142180766;QUADRIDERM CR DERM C/ 20 G;HYPERA PHARMA - OL PP;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7891142180759;QUADRIDERM POM DERM 10 G;HYPERA PHARMA - OL PP;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
7891142180773;QUADRIDERM POM DERM C/ 20 G;HYPERA PHARMA - OL PP;PRINCIPAL > PROPAGADO > PROPAGADO-ANTIMICROBIANOS
